12:21:31.652470 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 74: 192.168.1.70.43900 > 155.54.212.96.443: tcp 0
12:21:31.683002 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 78: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:31.683048 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43900 > 155.54.212.96.443: tcp 0
12:21:31.692222 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 583: 192.168.1.70.43900 > 155.54.212.96.443: tcp 517
12:21:31.725054 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:31.725312 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 222: 155.54.212.96.443 > 192.168.1.70.43900: tcp 156
12:21:31.725330 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43900 > 155.54.212.96.443: tcp 0
12:21:31.731633 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 117: 192.168.1.70.43900 > 155.54.212.96.443: tcp 51
12:21:31.748285 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 1103: 192.168.1.70.43900 > 155.54.212.96.443: tcp 1037
12:21:31.761059 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:31.778976 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:31.836681 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 1038: 155.54.212.96.443 > 192.168.1.70.43900: tcp 972
12:21:31.836716 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43900 > 155.54.212.96.443: tcp 0
12:21:33.839313 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:33.839864 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 97: 192.168.1.70.43900 > 155.54.212.96.443: tcp 31
12:21:33.839973 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43900 > 155.54.212.96.443: tcp 0
12:21:33.870168 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 60: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:21:33.870701 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 60: 155.54.212.96.443 > 192.168.1.70.43900: tcp 0
12:22:01.678379 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 74: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
12:22:01.708819 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 78: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:01.708865 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
12:22:01.713147 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 583: 192.168.1.70.43902 > 155.54.212.96.443: tcp 517
12:22:01.744016 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:01.744268 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 222: 155.54.212.96.443 > 192.168.1.70.43902: tcp 156
12:22:01.744278 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
12:22:01.744803 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 117: 192.168.1.70.43902 > 155.54.212.96.443: tcp 51
12:22:01.747501 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 1103: 192.168.1.70.43902 > 155.54.212.96.443: tcp 1037
12:22:01.774572 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:01.778753 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:01.851245 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 1038: 155.54.212.96.443 > 192.168.1.70.43902: tcp 972
12:22:01.851312 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
