IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.1.1,,80,tcp,6.1,Medium,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is vulnerable to Cross-site Scripting (XSS) attacks.","Installed version: 1.6.3
Fixed version:     1.9.0
Installation
path / port:       /mhs/js

",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,95c76494-b115-4a00-9354-7905fa283e42,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2021-06-11T08:43:18Z
","","","DFN-CERT-2020-0590,CB-K22/0045,CB-K18/1131",""
192.168.1.1,,443,tcp,6.1,Medium,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is vulnerable to Cross-site Scripting (XSS) attacks.","Installed version: 1.6.3
Fixed version:     1.9.0
Installation
path / port:       /mhs/js

",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,cf2b6bf9-1f7e-4bf3-a17b-54acddf5fd14,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2021-06-11T08:43:18Z
","","","DFN-CERT-2020-0590,CB-K22/0045,CB-K18/1131",""
192.168.1.1,,443,tcp,5.9,Medium,"Mitigation","SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection","It was possible to detect the usage of the deprecated SSLv2
  and/or SSLv3 protocol on this system.","In addition to TLSv1.0+ the service is also providing the deprecated SSLv3 protocol and supports one or more ciphers. Those supported ciphers can be found in the 'SSL/TLS: Report Supported Cipher Suites' (OID: 1.3.6.1.4.1.25623.1.0.802067) VT.
",1.3.6.1.4.1.25623.1.0.111012,"CVE-2016-0800,CVE-2014-3566",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,9d4e70fd-bd96-4b56-99f5-724b70d6db8e,"An attacker might be able to use the known cryptographic flaws to
  eavesdrop the connection between clients and the service to get access to sensitive data
  transferred within the secured connection.

  Furthermore newly uncovered vulnerabilities in this protocols won't receive security updates
  anymore.","It is recommended to disable the deprecated SSLv2 and/or SSLv3
  protocols in favor of the TLSv1.2+ protocols. Please see the references for more information.","All services providing an encrypted communication using the
  SSLv2 and/or SSLv3 protocols.","The SSLv2 and SSLv3 protocols contain known cryptographic
  flaws like:

  - CVE-2014-3566: Padding Oracle On Downgraded Legacy Encryption (POODLE)

  - CVE-2016-0800: Decrypting RSA with Obsolete and Weakened eNcryption (DROWN)","Check the used SSL protocols of the services provided by this
  system.
Details:
SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection
(OID: 1.3.6.1.4.1.25623.1.0.111012)
Version used: 2021-10-15T12:51:02Z
","","","DFN-CERT-2018-0096,DFN-CERT-2017-1238,DFN-CERT-2017-1236,DFN-CERT-2016-1929,DFN-CERT-2016-1527,DFN-CERT-2016-1468,DFN-CERT-2016-1216,DFN-CERT-2016-1174,DFN-CERT-2016-1168,DFN-CERT-2016-0884,DFN-CERT-2016-0841,DFN-CERT-2016-0644,DFN-CERT-2016-0642,DFN-CERT-2016-0496,DFN-CERT-2016-0495,DFN-CERT-2016-0465,DFN-CERT-2016-0459,DFN-CERT-2016-0453,DFN-CERT-2016-0451,DFN-CERT-2016-0415,DFN-CERT-2016-0403,DFN-CERT-2016-0388,DFN-CERT-2016-0360,DFN-CERT-2016-0359,DFN-CERT-2016-0357,DFN-CERT-2016-0171,DFN-CERT-2015-1431,DFN-CERT-2015-1075,DFN-CERT-2015-1026,DFN-CERT-2015-0664,DFN-CERT-2015-0548,DFN-CERT-2015-0404,DFN-CERT-2015-0396,DFN-CERT-2015-0259,DFN-CERT-2015-0254,DFN-CERT-2015-0245,DFN-CERT-2015-0118,DFN-CERT-2015-0114,DFN-CERT-2015-0083,DFN-CERT-2015-0082,DFN-CERT-2015-0081,DFN-CERT-2015-0076,DFN-CERT-2014-1717,DFN-CERT-2014-1680,DFN-CERT-2014-1632,DFN-CERT-2014-1564,DFN-CERT-2014-1542,DFN-CERT-2014-1414,DFN-CERT-2014-1366,DFN-CERT-2014-1354,CB-K18/0094,CB-K17/1198,CB-K17/1196,CB-K16/1828,CB-K16/1438,CB-K16/1384,CB-K16/1141,CB-K16/1107,CB-K16/1102,CB-K16/0792,CB-K16/0599,CB-K16/0597,CB-K16/0459,CB-K16/0456,CB-K16/0433,CB-K16/0424,CB-K16/0415,CB-K16/0413,CB-K16/0374,CB-K16/0367,CB-K16/0331,CB-K16/0329,CB-K16/0328,CB-K16/0156,CB-K15/1514,CB-K15/1358,CB-K15/1021,CB-K15/0972,CB-K15/0637,CB-K15/0590,CB-K15/0525,CB-K15/0393,CB-K15/0384,CB-K15/0287,CB-K15/0252,CB-K15/0246,CB-K15/0237,CB-K15/0118,CB-K15/0110,CB-K15/0108,CB-K15/0080,CB-K15/0078,CB-K15/0077,CB-K15/0075,CB-K14/1617,CB-K14/1581,CB-K14/1537,CB-K14/1479,CB-K14/1458,CB-K14/1342,CB-K14/1314,CB-K14/1313,CB-K14/1311,CB-K14/1304,CB-K14/1296",""
192.168.1.43,,22,tcp,5.3,Medium,"Mitigation","Weak Host Key Algorithm(s) (SSH)","The remote SSH server is configured to allow / support weak host
  key algorithm(s).","The remote SSH server supports the following weak host key algorithm(s):

host key algorithm | Description
-----------------------------------------------------------------------------------------
ssh-dss            | Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
",1.3.6.1.4.1.25623.1.0.117687,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,40fdb410-40d7-4070-bc19-28468dbeb43a,"","Disable the reported weak host key algorithm(s).","","","Checks the supported host key algorithms of the remote SSH
  server.

  Currently weak host key algorithms are defined as the following:

  - ssh-dss: Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
Details:
Weak Host Key Algorithm(s) (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.117687)
Version used: 2021-11-24T06:31:19Z
","","","",""
192.168.1.1,,22,tcp,5.3,Medium,"Mitigation","Weak Key Exchange (KEX) Algorithm(s) Supported (SSH)","The remote SSH server is configured to allow / support weak key
  exchange (KEX) algorithm(s).","The remote SSH server supports the following weak KEX algorithm(s):

KEX algorithm              | Reason
-----------------------------------------------------------------------------------
diffie-hellman-group1-sha1 | Using Oakley Group 2 (a 1024-bit MODP group) and SHA-1
",1.3.6.1.4.1.25623.1.0.150713,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,ae6c973f-8cc2-40a4-8436-910250573099,"An attacker can quickly break individual connections.","Disable the reported weak KEX algorithm(s)

  - 1024-bit MODP group / prime KEX algorithms:

  Alternatively use elliptic-curve Diffie-Hellmann in general, e.g. Curve 25519.","","'- 1024-bit MODP group / prime KEX algorithms:

  Millions of HTTPS, SSH, and VPN servers all use the same prime numbers for Diffie-Hellman key
  exchange. Practitioners believed this was safe as long as new key exchange messages were generated
  for every connection. However, the first step in the number field sieve-the most efficient
  algorithm for breaking a Diffie-Hellman connection-is dependent only on this prime.

  A nation-state can break a 1024-bit prime.","Checks the supported KEX algorithms of the remote SSH server.

  Currently weak KEX algorithms are defined as the following:

  - non-elliptic-curve Diffie-Hellmann (DH) KEX algorithms with 1024-bit MODP group / prime

  - ephemerally generated key exchange groups uses SHA-1

  - using RSA 1024-bit modulus key
Details:
Weak Key Exchange (KEX) Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.150713)
Version used: 2021-11-24T06:31:19Z
","","","",""
192.168.1.43,,22,tcp,5.3,Medium,"Mitigation","Weak Key Exchange (KEX) Algorithm(s) Supported (SSH)","The remote SSH server is configured to allow / support weak key
  exchange (KEX) algorithm(s).","The remote SSH server supports the following weak KEX algorithm(s):

KEX algorithm              | Reason
-----------------------------------------------------------------------------------
diffie-hellman-group1-sha1 | Using Oakley Group 2 (a 1024-bit MODP group) and SHA-1
",1.3.6.1.4.1.25623.1.0.150713,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,3c781722-08ba-4b7b-bf19-f70b6df01226,"An attacker can quickly break individual connections.","Disable the reported weak KEX algorithm(s)

  - 1024-bit MODP group / prime KEX algorithms:

  Alternatively use elliptic-curve Diffie-Hellmann in general, e.g. Curve 25519.","","'- 1024-bit MODP group / prime KEX algorithms:

  Millions of HTTPS, SSH, and VPN servers all use the same prime numbers for Diffie-Hellman key
  exchange. Practitioners believed this was safe as long as new key exchange messages were generated
  for every connection. However, the first step in the number field sieve-the most efficient
  algorithm for breaking a Diffie-Hellman connection-is dependent only on this prime.

  A nation-state can break a 1024-bit prime.","Checks the supported KEX algorithms of the remote SSH server.

  Currently weak KEX algorithms are defined as the following:

  - non-elliptic-curve Diffie-Hellmann (DH) KEX algorithms with 1024-bit MODP group / prime

  - ephemerally generated key exchange groups uses SHA-1

  - using RSA 1024-bit modulus key
Details:
Weak Key Exchange (KEX) Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.150713)
Version used: 2021-11-24T06:31:19Z
","","","",""
192.168.1.43,,80,tcp,5.0,Medium,"Mitigation","Sensitive File Disclosure (HTTP)","The script attempts to identify files containing sensitive data
  at the remote web server like e.g.:

  - software (Blog, CMS) configuration or log files

  - web / application server configuration / password files (.htaccess, .htpasswd, web.config,
  web.xml, ...)

  - database backup files

  - SSH or SSL/TLS Private-Keys","The following files containing sensitive information were identified:

Description: esmtp configuration file containing a username and password
Match:                       username = $('input#login-username').textbox('getValue');
Used regex:  ^\s*username\s*=.+
Extra match:                 password = $('input#login-password').password('getValue');
Used regex:  ^\s*password\s*=.+
URL:         http://192.168.1.43/.esmtprc
",1.3.6.1.4.1.25623.1.0.107305,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,647e990c-c74a-4e1f-8e78-c5cb72f33d2d,"Based on the information provided in this files an attacker might
  be able to gather additional info and/or sensitive data like usernames and passwords.","The sensitive files shouldn't be accessible via a web server.
  Restrict access to it or remove it completely.","","","Enumerate the remote web server and check if sensitive files
  are accessible.
Details:
Sensitive File Disclosure (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.107305)
Version used: 2022-03-11T12:15:11Z
","","","",""
192.168.1.43,,80,tcp,5.0,Medium,"WillNotFix","TP-Link File Disclosure Vulnerability","Multiple TP-Link devices are prone to a file disclosure vulnerability where
an unauthenticated attacker may obtain the configuration backup file which may contain sensitive data (e.g.
admin password) which could lead to complete compromise of the device.","It was possible to download the backup file 'config.bin' which may contain the admin password.
",1.3.6.1.4.1.25623.1.0.141383,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,5af21b9b-2df7-44cc-a240-f128e0255d3a,"","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","TP-Link RE305 v1.0, RE450 v1.0, TL-WA830RE v3.0, TL-WA850RE v2.0,
TL-WA850RE v4.0, TL-WA850RE v5.0, TL-WA855RE v1.0, TL-WA855RE v2.0 and maybe others.","","Sends a crafted HTTP GET request and checks the response.
Details:
TP-Link File Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141383)
Version used: 2020-08-24T15:18:35Z
","","","",""
192.168.1.43,,80,tcp,5.0,Medium,"Mitigation","Missing `httpOnly` Cookie Attribute","The application is missing the 'httpOnly' cookie attribute","The cookies:

Set-Cookie: COOKIE=4601a8c008625803; PATH=/; MAXAGE=***replaced***; VERSION=1

are missing the ""httpOnly"" attribute.
",1.3.6.1.4.1.25623.1.0.105925,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,66fbd786-6fb6-4c8e-8266-75a39d3b9a24,"","Set the 'httpOnly' attribute for any session cookie.","Application with session handling in cookies.","The flaw is due to a cookie is not using the 'httpOnly' attribute. This
  allows a cookie to be accessed by JavaScript which could lead to session hijacking attacks.","Check all cookies sent by the application for a missing 'httpOnly' attribute
Details:
Missing `httpOnly` Cookie Attribute
(OID: 1.3.6.1.4.1.25623.1.0.105925)
Version used: 2020-08-24T15:18:35Z
","","","",""
192.168.1.1,,80,tcp,4.8,Medium,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields where identified (URL:input name):

http://192.168.1.1/:pass
",1.3.6.1.4.1.25623.1.0.108440,"",7945bb21-afbd-421e-a4f1-06f30c073506,"Prueba para reporte grande",2022-05-20T08:14:12Z,cd74cabb-fc64-4461-b8f6-c57e5a9929e1,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2020-08-24T15:18:35Z
","","","",""
